"행정구역","2024년07월_계_총인구수","2024년07월_계_연령구간인구수","2024년07월_계_0~9세","2024년07월_계_10~19세","2024년07월_계_20~29세","2024년07월_계_30~39세","2024년07월_계_40~49세","2024년07월_계_50~59세","2024년07월_계_60~69세","2024년07월_계_70~79세","2024년07월_계_80~89세","2024년07월_계_90~99세","2024년07월_계_100세 이상","2024년07월_남_총인구수","2024년07월_남_연령구간인구수","2024년07월_남_0~9세","2024년07월_남_10~19세","2024년07월_남_20~29세","2024년07월_남_30~39세","2024년07월_남_40~49세","2024년07월_남_50~59세","2024년07월_남_60~69세","2024년07월_남_70~79세","2024년07월_남_80~89세","2024년07월_남_90~99세","2024년07월_남_100세 이상","2024년07월_여_총인구수","2024년07월_여_연령구간인구수","2024년07월_여_0~9세","2024년07월_여_10~19세","2024년07월_여_20~29세","2024년07월_여_30~39세","2024년07월_여_40~49세","2024년07월_여_50~59세","2024년07월_여_60~69세","2024년07월_여_70~79세","2024년07월_여_80~89세","2024년07월_여_90~99세","2024년07월_여_100세 이상"
"전국  (0000000000)","51,265,238","51,265,238","3,213,400","4,630,536","6,054,438","6,599,110","7,797,763","8,728,805","7,743,408","4,084,758","2,087,111","317,221","8,688","25,528,507","25,528,507","1,646,467","2,380,872","3,156,497","3,439,955","3,964,607","4,403,352","3,813,150","1,879,540","768,986","73,513","1,568","25,736,731","25,736,731","1,566,933","2,249,664","2,897,941","3,159,155","3,833,156","4,325,453","3,930,258","2,205,218","1,318,125","243,708","7,120"
"서울특별시  (1100000000)","9,360,400","9,360,400","494,894","726,639","1,331,952","1,435,247","1,397,195","1,494,390","1,323,285","757,660","349,875","47,758","1,505","4,521,316","4,521,316","253,760","371,366","628,696","717,919","690,772","734,839","626,379","342,476","141,890","12,868","351","4,839,084","4,839,084","241,134","355,273","703,256","717,328","706,423","759,551","696,906","415,184","207,985","34,890","1,154"
"부산광역시  (2600000000)","3,278,280","3,278,280","186,848","262,842","366,424","389,866","476,452","539,889","561,776","329,487","146,016","18,245","435","1,596,494","1,596,494","95,744","134,741","187,755","201,045","240,730","264,086","264,184","148,548","55,381","4,211","69","1,681,786","1,681,786","91,104","128,101","178,669","188,821","235,722","275,803","297,592","180,939","90,635","14,034","366"
"대구광역시  (2700000000)","2,366,660","2,366,660","145,241","212,668","273,363","281,475","349,008","419,661","371,456","200,521","99,733","13,278","256","1,161,549","1,161,549","74,560","109,430","143,775","150,237","173,109","204,727","177,582","88,668","36,295","3,130","36","1,205,111","1,205,111","70,681","103,238","129,588","131,238","175,899","214,934","193,874","111,853","63,438","10,148","220"
"인천광역시  (2800000000)","3,012,997","3,012,997","198,263","271,794","356,575","419,003","477,688","518,014","452,700","205,699","97,086","15,679","496","1,505,953","1,505,953","101,563","139,480","184,384","218,666","245,625","258,191","223,553","95,572","35,421","3,402","96","1,507,044","1,507,044","96,700","132,314","172,191","200,337","232,063","259,823","229,147","110,127","61,665","12,277","400"
"광주광역시  (2900000000)","1,412,986","1,412,986","95,494","146,122","185,497","173,649","223,063","243,063","188,180","101,242","49,205","7,273","198","697,557","697,557","48,869","75,330","96,773","89,889","111,189","120,299","90,154","44,833","18,523","1,675","23","715,429","715,429","46,625","70,792","88,724","83,760","111,874","122,764","98,026","56,409","30,682","5,598","175"
"대전광역시  (3000000000)","1,439,889","1,439,889","93,374","136,475","195,966","189,235","215,712","244,517","204,224","102,735","49,905","7,529","217","717,887","717,887","48,079","70,283","102,432","100,319","107,834","121,825","99,112","47,262","18,825","1,880","36","722,002","722,002","45,295","66,192","93,534","88,916","107,878","122,692","105,112","55,473","31,080","5,649","181"
"울산광역시  (3100000000)","1,099,866","1,099,866","75,432","109,108","119,064","136,554","175,108","204,123","172,854","74,887","28,755","3,894","87","565,679","565,679","38,668","56,837","68,086","74,560","90,388","102,417","87,254","36,196","10,480","782","11","534,187","534,187","36,764","52,271","50,978","61,994","84,720","101,706","85,600","38,691","18,275","3,112","76"
"세종특별자치시  (3600000000)","388,788","388,788","42,234","51,634","37,170","59,090","77,157","56,212","38,050","17,212","8,401","1,589","39","193,538","193,538","21,504","26,055","18,879","29,166","38,036","29,369","18,960","8,187","3,048","331","3","195,250","195,250","20,730","25,579","18,291","29,924","39,121","26,843","19,090","9,025","5,353","1,258","36"
"경기도  (4100000000)","13,669,469","13,669,469","958,633","1,320,681","1,649,166","1,893,401","2,229,769","2,356,489","1,878,829","878,894","434,620","67,026","1,961","6,872,643","6,872,643","490,675","675,756","866,105","988,974","1,137,398","1,187,143","937,558","407,577","164,645","16,364","448","6,796,826","6,796,826","467,958","644,925","783,061","904,427","1,092,371","1,169,346","941,271","471,317","269,975","50,662","1,513"
